account_value,date
10000.0,2021-07-23
10000.0,2021-07-26
10000.0,2021-07-27
10000.0,2021-07-28
10000.0,2021-07-29
10000.0,2021-07-30
10000.0,2021-08-02
10000.0,2021-08-03
10000.0,2021-08-04
10000.0,2021-08-05
10000.0,2021-08-06
10000.0,2021-08-09
10000.0,2021-08-10
10000.0,2021-08-11
10000.0,2021-08-12
10000.0,2021-08-13
10000.0,2021-08-16
10000.0,2021-08-17
10000.0,2021-08-18
10000.0,2021-08-20
10000.0,2021-08-23
10000.0,2021-08-24
10000.0,2021-08-25
10000.0,2021-08-26
10000.0,2021-08-27
10000.0,2021-08-30
10000.0,2021-08-31
10000.0,2021-09-01
10000.0,2021-09-02
10000.0,2021-09-03
10000.0,2021-09-06
10000.0,2021-09-07
10000.0,2021-09-08
10000.0,2021-09-09
10000.0,2021-09-13
10000.0,2021-09-14
10000.0,2021-09-15
10000.0,2021-09-16
10000.0,2021-09-17
10000.0,2021-09-20
10000.0,2021-09-21
10000.0,2021-09-22
10000.0,2021-09-23
10000.0,2021-09-24
10000.0,2021-09-27
10000.0,2021-09-28
10000.0,2021-09-29
10000.0,2021-09-30
10000.0,2021-10-01
10000.0,2021-10-04
10000.0,2021-10-05
10000.0,2021-10-06
10000.0,2021-10-07
10000.0,2021-10-08
10000.0,2021-10-11
10000.0,2021-10-12
10000.0,2021-10-13
10000.0,2021-10-14
10000.0,2021-10-18
10000.0,2021-10-19
10000.0,2021-10-20
10000.0,2021-10-21
10000.0,2021-10-22
10000.0,2021-10-25
10000.0,2021-10-26
10000.0,2021-10-27
10000.0,2021-10-28
10000.0,2021-10-29
9915.9220855802,2021-11-01
9916.355080027875,2021-11-02
9913.187416513325,2021-11-03
9933.517812771825,2021-11-04
10048.267296049926,2021-11-08
10171.392672481325,2021-11-09
10163.112680788327,2021-11-10
10163.112680788327,2021-11-11
10163.112680788327,2021-11-12
10163.112680788327,2021-11-15
10163.112680788327,2021-11-16
10163.112680788327,2021-11-17
10163.112680788327,2021-11-18
10163.112680788327,2021-11-22
10163.112680788327,2021-11-23
10163.112680788327,2021-11-24
10163.112680788327,2021-11-25
10163.112680788327,2021-11-26
10163.112680788327,2021-11-29
10163.112680788327,2021-11-30
10163.112680788327,2021-12-01
10163.112680788327,2021-12-02
10163.112680788327,2021-12-03
10163.112680788327,2021-12-06
10163.112680788327,2021-12-07
10163.112680788327,2021-12-08
10163.112680788327,2021-12-09
10163.112680788327,2021-12-10
10163.112680788327,2021-12-13
10163.112680788327,2021-12-14
10163.112680788327,2021-12-15
10163.112680788327,2021-12-16
10163.112680788327,2021-12-17
10163.112680788327,2021-12-20
10163.112680788327,2021-12-21
10163.112680788327,2021-12-22
10163.112680788327,2021-12-23
10102.227355536426,2021-12-24
10210.7732874193,2021-12-27
10212.5690356339,2021-12-28
10342.4189057839,2021-12-29
10354.6688935339,2021-12-30
10346.270901959502,2021-12-31
